id,name,alcohol_by_volume,age,distillery_id,bottler_id,type_id
1392,Buffalo Trace Antique Collection: William Larue Weller 2015,67.30,12 Years,9,52,3
1393,Four Roses Small Batch Limited Edition 2016,55.60,12 Years,22,123,3
1394,Van Winkle “Lot B” 12yr Bourbon,45.20,12 Years,9,52,3
1395,Four Roses 2016 Single Barrel Limited Edition Elliots Select,55.10,16 Years,22,123,3
1396,Willett 3yr Small Batch Rye,55.60,3 Years,65,356,8
1397,Buffalo Trace Antique Collection: William Larue Weller 2016,67.70,13 Years,9,52,3
1398,Willett Family Estate 4yr Bourbon,58.20,4 Years,65,356,3
1399,Yellowstone 2015 Limited Edition,52.50,7 Years,28,213,3
1400,Single Cask Nation Westland 2 Year Old,57.80,2 Years,190,285,1
1401,Westland Cask #606,57.80,3 Years,190,348,1
1402,Glenlivet 15 French Oak Reserve,40.00,15 Years,26,138,9
1403,Westland Cask #405,62.50,NAS,190,348,1
1404,Westland Garryana,56.20,NAS,190,348,3
1405,Springbank 12yr Cask Strength Burgundy Cask,54.10,12 Years,50,296,9
1406,Westland Sherry Wood,46.00,NAS,190,348,1
1407,Four Roses OESK Private Selection Rileys Selection,57.30,9 Years,22,123,3
1408,Glenturret Signatory 1993 21yr 43%,43.00,21 Years,133,283,9
1409,Benriach Solstice 17yr First Edition,50.00,17 Years,7,31,9
1410,Benriach Septendecim 17yr Heavily Peated,46.00,17 Years,7,31,9
1411,Glenfiddich IPA Cask,43.00,NAS,24,135,9
1412,Old Grand-Dad 114 ND Lot 12,57.00,NAS,222,230,3
1413,Glenrothes Sherry Reserve,40.00,NAS,142,140,9
1414,Whistle Pig 10yr Single Barrel Cask Strength Rye KLWines Selection,56.60,10 Years,1,350,8
1415,Highland Park 28yr Cadenheads,53.30,28 Years,29,60,9
1416,Clynelish 14yr Gordon & MacPhail,54.00,14 Years,136,143,9
1417,Tobermory 19yr Montgomerie’s,55.70,19 Years,223,226,9
1418,Ledaig 18yr Exclusive Cask,50.20,18 Years,56,111,9
1419,Bruichladdich The Classic Laddie 10yr,46.00,10 Years,8,50,9
1420,Tomatin 12yr Cask Strength,53.00,12 Years,164,331,9
1421,Ellenstown 10yr,53.60,10 Years,121,110,9
1422,Ardbeg Perpetuum,47.40,NAS,121,13,9
1423,Imperial 15yr Gordon & MacPhail Port Finish,46.00,15 Years,224,142,9
1424,Douglas Laings Big Peat Christmas 2012,53.60,NAS,62,102,9
1425,Charbay III,66.20,NAS,200,72,3
1426,Smooth Ambler Old Scout 11yr Single Barrel,49.70,11 Years,42,288,3
1427,Four Roses OBSQ Private Selection K&L Wines Selection,57.10,8 Years,22,123,3
1428,Tobermory 18yr Old Particular,48.40,18 Years,56,102,9
1429,Maker’s Mark 46 Cask Strength Binnys Selection,53.65,NAS,40,217,3
1430,Longmorn 26yo The Perfect Dram 1975,50.60,26 Years,195,320,9
1431,Booker’s Rye,68.10,13 Years,5,27,8
1432,Mortlach 28yr SMWS 74.124 – A Symphony of Oak,55.90,28 Years,149,289,9
