id,name,alcohol_by_volume,age,distillery_id,bottler_id,type_id
1678,Stranahan’s Snowflake: Mt. Evans,47.00,NAS,183,305,3
1679,Colonel E.H. Taylor Small Batch,50.00,NAS,9,52,3
1680,Crown Royal Northern Harvest Rye,45.00,NAS,79,91,8
1681,High West A Midwinters Night Dram Scene 3 Act 3,49.30,NAS,42,157,8
1682,Knob Creek 9yr Small Batch (Older Bottling),50.00,9 Years,5,27,3
1683,Jim Beam White Label,40.00,NAS,5,27,3
1684,Buffalo Trace,45.00,NAS,9,52,3
1685,I.W. Harper,41.00,NAS,28,213,3
1686,Old Grand-Dad Bottled-in-Bond,50.00,NAS,5,27,3
1687,Wild Turkey 101,50.50,NAS,64,354,3
1688,Maker’s Mark,45.00,NAS,40,217,3
1689,Alberta Rye Dark Batch,45.00,NAS,1,7,8
1690,Wieser Uuahouua Single Malt 7 Year Sherry,40.00,7 Years,242,353,11
1691,Sazerac Rye,45.00,NAS,9,52,8
1692,High West Double Rye,46.00,NAS,62,157,8
1693,High West Bourye,46.00,NAS,62,157,1
1694,Four Roses Single Barrel,50.00,NAS,22,123,3
1695,Door County Single Malt,40.00,NAS,243,101,3
1696,Maker’s Mark 46,47.00,NAS,40,217,3
1697,Smooth Ambler Old Scout 10yr,50.00,10 Years,42,288,3
1698,Eagle Rare 10yr,45.00,10 Years,9,52,3
1699,Corsair Quinoa Whiskey,46.00,NAS,212,88,1
1700,Elijah Craig 12yr Barrel Proof Batch 3,66.60,12 Years,28,152,3
1701,Elijah Craig 12yr Barrel Proof Batch 2,68.50,12 Years,28,152,3
1702,Pinhook Bourbon War Vertical Series 4yr,49.00,4 Years,42,80,3
1703,Kilkerran 8yr Cask Strength Oloroso,57.10,8 Years,237,198,9
1704,Bunnahabhain 12yr Signatory Vintage 2008 Marion Dauner Selection,46.00,12 Years,91,283,9
1705,Glendronach 11yr Single Cask #2988 2008 KL Wines Selection,60.10,11 Years,77,133,9
1706,Aberfeldy 18yr Exceptional Cask 9yr Sherry Cask Finish,53.80,18 Years,119,3,9
1707,GlenDronach 26yr Single Cask #5962 1993 Nickolls & Perks Selection,57.00,26 Years,77,133,9
1708,Springbank 23yr Glenscoma 1996,54.50,23 Years,50,141,9
1709,Edradour 9yr The Ultimate Whiskey Company 2010,58.60,9 Years,19,323,9
1710,Elijah Craig 12yr Barrel Proof Batch 1,67.10,12 Years,28,152,3
1711,GlenDronach 23yr 1993 The Whiskey World Selection,53.10,23 Years,77,133,9
1712,Glenallachie 19yr 2000 The Whiskey World Selection,52.50,19 Years,23,130,9
1713,Glengoyne 19yr 1998 European Oak Cask 1921,56.60,19 Years,25,136,9
1714,Remus Repeal Reserve Series III,50.00,NAS,42,223,3
